Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
MotorImagery,2021-08-17 12:57:36.4699,14779,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7736,10,(0.774 0.756 0.760 0.758 0.764 0.757 0.778 0.797 ),NULL
Rest,2021-08-17 12:57:36.7542,14792,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7339,10,(0.774 0.756 0.760 0.758 0.764 0.757 0.778 0.797 ),NULL
InputWindowChange,2021-08-17 12:57:51.4717,15445,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,8,0.0000,0.9209,Running,2.9526,30,0.0000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:57:56.5519,15669,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,8,0.0012,0.0000,Running,2.9526,30,0.0000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:57:56.5559,15669,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,8,0.0012,0.0000,Running,2.9526,30,0.0000,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-17 12:58:11.5678,16314,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,9,0.0000,0.0000,Running,3.9712,30,0.0000,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:58:17.5843,16554,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,9,0.0228,0.0000,Running,3.9712,30,0.0000,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:58:17.5862,16554,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,9,0.0228,0.0000,Running,3.9712,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-17 12:58:32.5707,17189,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,10,0.0000,0.0000,Running,4.1206,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:58:32.9845,17207,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8018,11,(0.799 0.817 0.829 0.849 0.815 0.826 0.813 0.802 ),NULL
Rest,2021-08-17 12:58:33.0107,17208,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8059,11,(0.799 0.817 0.829 0.849 0.815 0.826 0.813 0.802 ),NULL
