Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
Rest,2021-08-16 15:45:25.4319,18765,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8450,11,(0.798 0.797 0.807 0.816 0.830 0.842 0.777 0.790 )
InputWindowChange,2021-08-16 15:45:40.4028,19452,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,11,0.0000,1.6713,Running,2.6807,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:45:41.4069,19497,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8626,12,(0.726 0.770 0.795 0.841 0.873 0.882 0.870 0.863 )
Rest,2021-08-16 15:45:41.6814,19510,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8612,12,(0.726 0.770 0.795 0.841 0.873 0.882 0.870 0.863 )
InputWindowChange,2021-08-16 15:45:56.4193,20189,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,11,0.0000,2.6708,Running,4.3862,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:45:56.5758,20196,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7671,13,(0.767 0.770 0.795 0.841 0.873 0.882 0.870 0.863 )
Rest,2021-08-16 15:45:56.6027,20197,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7600,13,(0.767 0.770 0.795 0.841 0.873 0.882 0.870 0.863 )
InputWindowChange,2021-08-16 15:46:11.5839,20871,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,11,0.0000,2.8299,Running,4.2765,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:46:14.7744,21018,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,11,0.0200,0.0000,Running,4.2765,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 15:46:14.7764,21018,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,11,0.0200,0.0000,Running,4.2765,30,0.0000,0,0.0000,0,0.4000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
